,INDICATOR_ID,INDICATOR_LABEL_EN
120,CR.1.URB.Q5.F,"Completion rate, primary education, urban, richest quintile, female (%)"
121,CR.1.URB.Q5.GPIA,"Completion rate, primary education, urban, richest quintile, adjusted gender parity index (GPIA)"
122,CR.1.URB.Q5.M,"Completion rate, primary education, urban, richest quintile, male (%)"
123,CR.1.URB.WPIA,"Completion rate, primary education, urban, adjusted wealth parity index (WPIA)"
124,CR.1.WPIA,"Completion rate, primary education, adjusted wealth parity index (WPIA)"
125,CR.2,"Completion rate, lower secondary education, both sexes (%)"
126,CR.2.ABL,"Completion rate, lower secondary education, not disabled, both sexes (%)"
127,CR.2.ABL.F,"Completion rate, lower secondary education, not disabled, female (%)"
128,CR.2.ABL.GPIA,"Completion rate, lower secondary education, not disabled, adjusted gender parity index (GPIA)"
129,CR.2.ABL.M,"Completion rate, lower secondary education, not disabled, male (%)"
130,CR.2.DIS,"Completion rate, lower secondary education, disabled, both sexes (%)"
131,CR.2.DIS.F,"Completion rate, lower secondary education, disabled, female (%)"
132,CR.2.DIS.GPIA,"Completion rate, lower secondary education, disabled, adjusted gender parity index (GPIA)"
133,CR.2.DIS.M,"Completion rate, lower secondary education, disabled, male (%)"
134,CR.2.DPIA,"Completion rate, lower secondary education, adjusted disability parity index (DPIA)"
135,CR.2.F,"Completion rate, lower secondary education, female (%)"
136,CR.2.F.DPIA,"Completion rate, lower secondary education, female, adjusted disability parity index (DPIA)"
137,CR.2.F.LPIA,"Completion rate, lower secondary education, female, adjusted location parity index (LPIA)"
138,CR.2.F.WPIA,"Completion rate, lower secondary education, female, adjusted wealth parity index (WPIA)"
139,CR.2.GPIA,"Completion rate, lower secondary education, adjusted gender parity index (GPIA)"
140,CR.2.LPIA,"Completion rate, lower secondary education, adjusted location parity index (LPIA)"
141,CR.2.M,"Completion rate, lower secondary education, male (%)"
142,CR.2.M.DPIA,"Completion rate, lower secondary education, male, adjusted disability parity index (DPIA)"
143,CR.2.M.LPIA,"Completion rate, lower secondary education, male, adjusted location parity index (LPIA)"
144,CR.2.M.WPIA,"Completion rate, lower secondary education, male, adjusted wealth parity index (WPIA)"
145,CR.2.Q1,"Completion rate, lower secondary education, poorest quintile, both sexes (%)"
146,CR.2.Q1.F,"Completion rate, lower secondary education, poorest quintile, female (%)"
147,CR.2.Q1.F.LPIA,"Completion rate, lower secondary education, poorest quintile, female, adjusted location parity index (LPIA)"
148,CR.2.Q1.GPIA,"Completion rate, lower secondary education, poorest quintile, adjusted gender parity index (GPIA)"
149,CR.2.Q1.LPIA,"Completion rate, lower secondary education, poorest quintile, adjusted location parity index (LPIA)"
150,CR.2.Q1.M,"Completion rate, lower secondary education, poorest quintile, male (%)"
151,CR.2.Q1.M.LPIA,"Completion rate, lower secondary education, poorest quintile, male, adjusted location parity index (LPIA)"
152,CR.2.Q2,"Completion rate, lower secondary education, second quintile, both sexes (%)"
153,CR.2.Q2.F,"Completion rate, lower secondary education, second quintile, female (%)"
154,CR.2.Q2.F.LPIA,"Completion rate, lower secondary education, second quintile, female, adjusted location parity index (LPIA)"
155,CR.2.Q2.GPIA,"Completion rate, lower secondary education, second quintile, adjusted gender parity index (GPIA)"
156,CR.2.Q2.LPIA,"Completion rate, lower secondary education, second quintile, adjusted location parity index (LPIA)"
157,CR.2.Q2.M,"Completion rate, lower secondary education, second quintile, male (%)"
158,CR.2.Q2.M.LPIA,"Completion rate, lower secondary education, second quintile, male, adjusted location parity index (LPIA)"
159,CR.2.Q3,"Completion rate, lower secondary education, middle quintile, both sexes (%)"
160,CR.2.Q3.F,"Completion rate, lower secondary education, middle quintile, female (%)"
161,CR.2.Q3.F.LPIA,"Completion rate, lower secondary education, middle quintile, female, adjusted location parity index (LPIA)"
162,CR.2.Q3.GPIA,"Completion rate, lower secondary education, middle quintile, adjusted gender parity index (GPIA)"
163,CR.2.Q3.LPIA,"Completion rate, lower secondary education, middle quintile, adjusted location parity index (LPIA)"
164,CR.2.Q3.M,"Completion rate, lower secondary education, middle quintile, male (%)"
165,CR.2.Q3.M.LPIA,"Completion rate, lower secondary education, middle quintile, male, adjusted location parity index (LPIA)"
166,CR.2.Q4,"Completion rate, lower secondary education, fourth quintile, both sexes (%)"
167,CR.2.Q4.F,"Completion rate, lower secondary education, fourth quintile, female (%)"
168,CR.2.Q4.F.LPIA,"Completion rate, lower secondary education, fourth quintile, female, adjusted location parity index (LPIA)"
169,CR.2.Q4.GPIA,"Completion rate, lower secondary education, fourth quintile, adjusted gender parity index (GPIA)"
170,CR.2.Q4.LPIA,"Completion rate, lower secondary education, fourth quintile, adjusted location parity index (LPIA)"
171,CR.2.Q4.M,"Completion rate, lower secondary education, fourth quintile, male (%)"
172,CR.2.Q4.M.LPIA,"Completion rate, lower secondary education, fourth quintile, male, adjusted location parity index (LPIA)"
173,CR.2.Q5,"Completion rate, lower secondary education, richest quintile, both sexes (%)"
174,CR.2.Q5.F,"Completion rate, lower secondary education, richest quintile, female (%)"
175,CR.2.Q5.F.LPIA,"Completion rate, lower secondary education, richest quintile, female, adjusted location parity index (LPIA)"
176,CR.2.Q5.GPIA,"Completion rate, lower secondary education, richest quintile, adjusted gender parity index (GPIA)"
177,CR.2.Q5.LPIA,"Completion rate, lower secondary education, richest quintile, adjusted location parity index (LPIA)"
178,CR.2.Q5.M,"Completion rate, lower secondary education, richest quintile, male (%)"
179,CR.2.Q5.M.LPIA,"Completion rate, lower secondary education, richest quintile, male, adjusted location parity index (LPIA)"
180,CR.2.RUR,"Completion rate, lower secondary education, rural, both sexes (%)"
181,CR.2.RUR.F,"Completion rate, lower secondary education, rural, female (%)"
182,CR.2.RUR.F.WPIA,"Completion rate, lower secondary education, rural, female, adjusted wealth parity index (WPIA)"
183,CR.2.RUR.GPIA,"Completion rate, lower secondary education, rural, adjusted gender parity index (GPIA)"
184,CR.2.RUR.M,"Completion rate, lower secondary education, rural, male (%)"
185,CR.2.RUR.M.WPIA,"Completion rate, lower secondary education, rural, male, adjusted wealth parity index (WPIA)"
186,CR.2.RUR.Q1,"Completion rate, lower secondary education, rural, poorest quintile, both sexes (%)"
187,CR.2.RUR.Q1.F,"Completion rate, lower secondary education, rural, poorest quintile, female (%)"
188,CR.2.RUR.Q1.GPIA,"Completion rate, lower secondary education, rural, poorest quintile, adjusted gender parity index (GPIA)"
189,CR.2.RUR.Q1.M,"Completion rate, lower secondary education, rural, poorest quintile, male (%)"
190,CR.2.RUR.Q2,"Completion rate, lower secondary education, rural, second quintile, both sexes (%)"
191,CR.2.RUR.Q2.F,"Completion rate, lower secondary education, rural, second quintile, female (%)"
192,CR.2.RUR.Q2.GPIA,"Completion rate, lower secondary education, rural, second quintile, adjusted gender parity index (GPIA)"
193,CR.2.RUR.Q2.M,"Completion rate, lower secondary education, rural, second quintile, male (%)"
194,CR.2.RUR.Q3,"Completion rate, lower secondary education, rural, middle quintile, both sexes (%)"
195,CR.2.RUR.Q3.F,"Completion rate, lower secondary education, rural, middle quintile, female (%)"
196,CR.2.RUR.Q3.GPIA,"Completion rate, lower secondary education, rural, middle quintile, adjusted gender parity index (GPIA)"
197,CR.2.RUR.Q3.M,"Completion rate, lower secondary education, rural, middle quintile, male (%)"
198,CR.2.RUR.Q4,"Completion rate, lower secondary education, rural, fourth quintile, both sexes (%)"
199,CR.2.RUR.Q4.F,"Completion rate, lower secondary education, rural, fourth quintile, female (%)"
200,CR.2.RUR.Q4.GPIA,"Completion rate, lower secondary education, rural, fourth quintile, adjusted gender parity index (GPIA)"
201,CR.2.RUR.Q4.M,"Completion rate, lower secondary education, rural, fourth quintile, male (%)"
202,CR.2.RUR.Q5,"Completion rate, lower secondary education, rural, richest quintile, both sexes (%)"
203,CR.2.RUR.Q5.F,"Completion rate, lower secondary education, rural, richest quintile, female (%)"
204,CR.2.RUR.Q5.GPIA,"Completion rate, lower secondary education, rural, richest quintile, adjusted gender parity index (GPIA)"
205,CR.2.RUR.Q5.M,"Completion rate, lower secondary education, rural, richest quintile, male (%)"
206,CR.2.RUR.WPIA,"Completion rate, lower secondary education, rural, adjusted wealth parity index (WPIA)"
207,CR.2.URB,"Completion rate, lower secondary education, urban, both sexes (%)"
208,CR.2.URB.F,"Completion rate, lower secondary education, urban, female (%)"
209,CR.2.URB.F.WPIA,"Completion rate, lower secondary education, urban, female, adjusted wealth parity index (WPIA)"
210,CR.2.URB.GPIA,"Completion rate, lower secondary education, urban, adjusted gender parity index (GPIA)"
211,CR.2.URB.M,"Completion rate, lower secondary education, urban, male (%)"
212,CR.2.URB.M.WPIA,"Completion rate, lower secondary education, urban, male, adjusted wealth parity index (WPIA)"
213,CR.2.URB.Q1,"Completion rate, lower secondary education, urban, poorest quintile, both sexes (%)"
214,CR.2.URB.Q1.F,"Completion rate, lower secondary education, urban, poorest quintile, female (%)"
215,CR.2.URB.Q1.GPIA,"Completion rate, lower secondary education, urban, poorest quintile, adjusted gender parity index (GPIA)"
216,CR.2.URB.Q1.M,"Completion rate, lower secondary education, urban, poorest quintile, male (%)"
217,CR.2.URB.Q2,"Completion rate, lower secondary education, urban, second quintile, both sexes (%)"
218,CR.2.URB.Q2.F,"Completion rate, lower secondary education, urban, second quintile, female (%)"
219,CR.2.URB.Q2.GPIA,"Completion rate, lower secondary education, urban, second quintile, adjusted gender parity index (GPIA)"
220,CR.2.URB.Q2.M,"Completion rate, lower secondary education, urban, second quintile, male (%)"
221,CR.2.URB.Q3,"Completion rate, lower secondary education, urban, middle quintile, both sexes (%)"
222,CR.2.URB.Q3.F,"Completion rate, lower secondary education, urban, middle quintile, female (%)"
223,CR.2.URB.Q3.GPIA,"Completion rate, lower secondary education, urban, middle quintile, adjusted gender parity index (GPIA)"
224,CR.2.URB.Q3.M,"Completion rate, lower secondary education, urban, middle quintile, male (%)"
225,CR.2.URB.Q4,"Completion rate, lower secondary education, urban, fourth quintile, both sexes (%)"
226,CR.2.URB.Q4.F,"Completion rate, lower secondary education, urban, fourth quintile, female (%)"
227,CR.2.URB.Q4.GPIA,"Completion rate, lower secondary education, urban, fourth quintile, adjusted gender parity index (GPIA)"
228,CR.2.URB.Q4.M,"Completion rate, lower secondary education, urban, fourth quintile, male (%)"
229,CR.2.URB.Q5,"Completion rate, lower secondary education, urban, richest quintile, both sexes (%)"
230,CR.2.URB.Q5.F,"Completion rate, lower secondary education, urban, richest quintile, female (%)"
231,CR.2.URB.Q5.GPIA,"Completion rate, lower secondary education, urban, richest quintile, adjusted gender parity index (GPIA)"
232,CR.2.URB.Q5.M,"Completion rate, lower secondary education, urban, richest quintile, male (%)"
233,CR.2.URB.WPIA,"Completion rate, lower secondary education, urban, adjusted wealth parity index (WPIA)"
234,CR.2.WPIA,"Completion rate, lower secondary education, adjusted wealth parity index (WPIA)"
235,CR.3,"Completion rate, upper secondary education, both sexes (%)"
236,CR.3.ABL,"Completion rate, upper secondary education, not disabled, both sexes (%)"
237,CR.3.ABL.F,"Completion rate, upper secondary education, not disabled, female (%)"
238,CR.3.ABL.GPIA,"Completion rate, upper secondary education, not disabled, adjusted gender parity index (GPIA)"
239,CR.3.ABL.M,"Completion rate, upper secondary education, not disabled, male (%)"
240,CR.3.DIS,"Completion rate, upper secondary education, disabled, both sexes (%)"
241,CR.3.DIS.F,"Completion rate, upper secondary education, disabled, female (%)"
242,CR.3.DIS.GPIA,"Completion rate, upper secondary education, disabled, adjusted gender parity index (GPIA)"
243,CR.3.DIS.M,"Completion rate, upper secondary education, disabled, male (%)"
244,CR.3.DPIA,"Completion rate, upper secondary education, adjusted disability parity index (DPIA)"
245,CR.3.F,"Completion rate, upper secondary education, female (%)"
246,CR.3.F.DPIA,"Completion rate, upper secondary education, female, adjusted disability parity index (DPIA)"
247,CR.3.F.LPIA,"Completion rate, upper secondary education, female, adjusted location parity index (LPIA)"
248,CR.3.F.WPIA,"Completion rate, upper secondary education, female, adjusted wealth parity index (WPIA)"
249,CR.3.GPIA,"Completion rate, upper secondary education, adjusted gender parity index (GPIA)"
250,CR.3.LPIA,"Completion rate, upper secondary education, adjusted location parity index (LPIA)"
251,CR.3.M,"Completion rate, upper secondary education, male (%)"
252,CR.3.M.DPIA,"Completion rate, upper secondary education, male, adjusted disability parity index (DPIA)"
253,CR.3.M.LPIA,"Completion rate, upper secondary education, male, adjusted location parity index (LPIA)"
254,CR.3.M.WPIA,"Completion rate, upper secondary education, male, adjusted wealth parity index (WPIA)"
255,CR.3.Q1,"Completion rate, upper secondary education, poorest quintile, both sexes (%)"
256,CR.3.Q1.F,"Completion rate, upper secondary education, poorest quintile, female (%)"
257,CR.3.Q1.F.LPIA,"Completion rate, upper secondary education, poorest quintile, female, adjusted location parity index (LPIA)"
258,CR.3.Q1.GPIA,"Completion rate, upper secondary education, poorest quintile, adjusted gender parity index (GPIA)"
259,CR.3.Q1.LPIA,"Completion rate, upper secondary education, poorest quintile, adjusted location parity index (LPIA)"
260,CR.3.Q1.M,"Completion rate, upper secondary education, poorest quintile, male (%)"
261,CR.3.Q1.M.LPIA,"Completion rate, upper secondary education, poorest quintile, male, adjusted location parity index (LPIA)"
262,CR.3.Q2,"Completion rate, upper secondary education, second quintile, both sexes (%)"
263,CR.3.Q2.F,"Completion rate, upper secondary education, second quintile, female (%)"
264,CR.3.Q2.F.LPIA,"Completion rate, upper secondary education, second quintile, female, adjusted location parity index (LPIA)"
265,CR.3.Q2.GPIA,"Completion rate, upper secondary education, second quintile, adjusted gender parity index (GPIA)"
266,CR.3.Q2.LPIA,"Completion rate, upper secondary education, second quintile, adjusted location parity index (LPIA)"
267,CR.3.Q2.M,"Completion rate, upper secondary education, second quintile, male (%)"
268,CR.3.Q2.M.LPIA,"Completion rate, upper secondary education, second quintile, male, adjusted location parity index (LPIA)"
269,CR.3.Q3,"Completion rate, upper secondary education, middle quintile, both sexes (%)"
270,CR.3.Q3.F,"Completion rate, upper secondary education, middle quintile, female (%)"
271,CR.3.Q3.F.LPIA,"Completion rate, upper secondary education, middle quintile, female, adjusted location parity index (LPIA)"
272,CR.3.Q3.GPIA,"Completion rate, upper secondary education, middle quintile, adjusted gender parity index (GPIA)"
273,CR.3.Q3.LPIA,"Completion rate, upper secondary education, middle quintile, adjusted location parity index (LPIA)"
274,CR.3.Q3.M,"Completion rate, upper secondary education, middle quintile, male (%)"
275,CR.3.Q3.M.LPIA,"Completion rate, upper secondary education, middle quintile, male, adjusted location parity index (LPIA)"
276,CR.3.Q4,"Completion rate, upper secondary education, fourth quintile, both sexes (%)"
277,CR.3.Q4.F,"Completion rate, upper secondary education, fourth quintile, female (%)"
278,CR.3.Q4.F.LPIA,"Completion rate, upper secondary education, fourth quintile, female, adjusted location parity index (LPIA)"
279,CR.3.Q4.GPIA,"Completion rate, upper secondary education, fourth quintile, adjusted gender parity index (GPIA)"
280,CR.3.Q4.LPIA,"Completion rate, upper secondary education, fourth quintile, adjusted location parity index (LPIA)"
281,CR.3.Q4.M,"Completion rate, upper secondary education, fourth quintile, male (%)"
282,CR.3.Q4.M.LPIA,"Completion rate, upper secondary education, fourth quintile, male, adjusted location parity index (LPIA)"
283,CR.3.Q5,"Completion rate, upper secondary education, richest quintile, both sexes (%)"
284,CR.3.Q5.F,"Completion rate, upper secondary education, richest quintile, female (%)"
285,CR.3.Q5.F.LPIA,"Completion rate, upper secondary education, richest quintile, female, adjusted location parity index (LPIA)"
286,CR.3.Q5.GPIA,"Completion rate, upper secondary education, richest quintile, adjusted gender parity index (GPIA)"
287,CR.3.Q5.LPIA,"Completion rate, upper secondary education, richest quintile, adjusted location parity index (LPIA)"
288,CR.3.Q5.M,"Completion rate, upper secondary education, richest quintile, male (%)"
289,CR.3.Q5.M.LPIA,"Completion rate, upper secondary education, richest quintile, male, adjusted location parity index (LPIA)"
290,CR.3.RUR,"Completion rate, upper secondary education, rural, both sexes (%)"
291,CR.3.RUR.F,"Completion rate, upper secondary education, rural, female (%)"
292,CR.3.RUR.F.WPIA,"Completion rate, upper secondary education, rural, female, adjusted wealth parity index (WPIA)"
293,CR.3.RUR.GPIA,"Completion rate, upper secondary education, rural, adjusted gender parity index (GPIA)"
294,CR.3.RUR.M,"Completion rate, upper secondary education, rural, male (%)"
295,CR.3.RUR.M.WPIA,"Completion rate, upper secondary education, rural, male, adjusted wealth parity index (WPIA)"
296,CR.3.RUR.Q1,"Completion rate, upper secondary education, rural, poorest quintile, both sexes (%)"
297,CR.3.RUR.Q1.F,"Completion rate, upper secondary education, rural, poorest quintile, female (%)"
298,CR.3.RUR.Q1.GPIA,"Completion rate, upper secondary education, rural, poorest quintile, adjusted gender parity index (GPIA)"
299,CR.3.RUR.Q1.M,"Completion rate, upper secondary education, rural, poorest quintile, male (%)"
300,CR.3.RUR.Q2,"Completion rate, upper secondary education, rural, second quintile, both sexes (%)"
301,CR.3.RUR.Q2.F,"Completion rate, upper secondary education, rural, second quintile, female (%)"
302,CR.3.RUR.Q2.GPIA,"Completion rate, upper secondary education, rural, second quintile, adjusted gender parity index (GPIA)"
